"Cat","Service","Domain","DnsMs","DnsOk","Http","NameMs","ConnMs","TlsMs","TtfbMs","TotalMs","HttpOk","Error"
"??","QQ??","y.qq.com","297","True","200","17","62","367","521","521","True",""
"??","QQ??API","c.y.qq.com","58","True","404","59","152","636","814","814","True",""
"??","?????","music.163.com","56","True","200","23","110","374","618","618","True",""
"??","???API","interface.music.163.com","67","True","200","56","1143","1270","1481","1481","True",""
"??","Apple Music","music.apple.com","70","True","200","56","99","638","2784","2785","True",""
"??","Apple CDN","is1-ssl.mzstatic.com","53","True","403","12","81","337","633","634","True",""
"??","????","www.kugou.com","64","True","200","19","64","299","390","391","True",""
"??","Spotify","open.spotify.com","78","True","ERR",,,,,,"False","000 0.012072 0.000000 0.000000 0.000000 5.006945"
"??","Amazon Music","music.amazon.com","157","True","ERR",,,,,,"False","000 0.018160 0.000000 0.000000 0.000000 5.006384"
"??","Tidal","tidal.com","218","True","403","12","446","2505","2751","2751","True",""
"??","TuneIn","tunein.com","133","True","403","18","242","502","753","753","True",""
"??","Audible","www.audible.com","1103","True","ERR",,,,,,"False","000 0.030041 0.000000 0.000000 0.000000 5.010620"
"??","Apple??","podcasts.apple.com","982","True","200","18","57","120","2298","2298","True",""
"??","LiveOne","www.liveone.com","1382","True","200","18","262","1474","1863","1863","True",""
"??","YouTube Music","music.youtube.com","67","True","ERR",,,,,,"False","000 0.012153 0.000000 0.000000 0.000000 5.004759"
"??","??","www.douyin.com","79","True","404","14","81","2162","2805","2805","True",""
"??","????","www.ixigua.com","68","True","200","23","79","157","264","264","True",""
"??","????","www.toutiao.com","42","True","200","17","71","181","273","273","True",""
"??","???","www.iqiyi.com","55","True","200","23","94","687","753","753","True",""
"??","????","www.bilibili.com","45","True","200","19","99","433","526","526","True",""
"??","??TV","www.mgtv.com","49","True","200","14","72","290","358","358","True",""
"??","Netflix","www.netflix.com","61","True","403","22","272","1058","1333","1333","True",""
"??","????","v.qq.com","46","True","200","28","121","379","563","563","True",""
"??","??","www.youku.com","108","True","200","19","100","461","573","573","True",""
