"Cat","Service","Domain","DnsMs","DnsOk","Http","NameMs","ConnMs","TlsMs","TtfbMs","TotalMs","HttpOk","Error"
"music","QQ Music","y.qq.com","274","True","200","18","51","102","336","336","True",""
"music","QQ Music API","c.y.qq.com","41","True","404","61","126","346","470","470","True",""
"music","NetEase Music","music.163.com","60","True","200","13","53","147","368","368","True",""
"music","NetEase API","interface.music.163.com","39","True","200","18","107","220","380","380","True",""
"music","Apple Music","music.apple.com","42","True","200","18","72","141","1937","1937","True",""
"music","Apple CDN","is1-ssl.mzstatic.com","35","True","403","21","54","281","535","535","True",""
"music","Kugou","www.kugou.com","33","True","200","16","46","134","186","187","True",""
"music","Spotify","open.spotify.com","19","True","ERR",,,,,,"False","000 0.011910 0.000000 0.000000 0.000000 5.005179"
"music","Amazon Music","music.amazon.com","31","True","ERR",,,,,,"False","000 0.012319 0.000000 0.000000 0.000000 5.005215"
"music","Tidal","tidal.com","344","True","403","20","233","485","732","732","True",""
"music","TuneIn","tunein.com","374","True","403","12","241","507","735","743","True",""
"music","Audible","www.audible.com","33","True","405","17","227","481","775","775","True",""
"music","Apple Podcasts","podcasts.apple.com","24","True","200","19","67","146","2110","2110","True",""
"music","LiveOne","www.liveone.com","1345","True","200","13","431","2163","3145","3146","True",""
"music","YouTube Music","music.youtube.com","47","True","ERR",,,,,,"False","000 0.017656 0.000000 0.000000 0.000000 5.011037"
"video","Douyin","www.douyin.com","56","True","404","14","64","162","642","642","True",""
"video","Xigua","www.ixigua.com","50","True","200","15","51","130","297","297","True",""
"video","Toutiao","www.toutiao.com","21","True","200","17","71","149","321","321","True",""
"video","iQiyi","www.iqiyi.com","43","True","200","17","80","169","225","225","True",""
"video","Bilibili","www.bilibili.com","49","True","200","18","68","124","210","210","True",""
"video","Mango TV","www.mgtv.com","49","True","200","17","56","124","256","256","True",""
"video","Netflix","www.netflix.com","39","True","403","18","247","501","732","732","True",""
"video","Tencent Video","v.qq.com","21","True","200","17","83","168","282","282","True",""
"video","Youku","www.youku.com","60","True","200","18","96","313","389","389","True",""
